3-gram, count
sick almost to, 1
almost to doomsday, 1
to doomsday with, 1
doomsday with eclipse, 1
and even the, 1
even the like, 1
the like precurse, 1
like precurse of, 1
precurse of fierce, 1
of fierce events, 1
as harbingers preceding, 1
harbingers preceding still, 1
preceding still the, 1
still the fates, 1
and prologue to, 1
prologue to the, 1
to the omen, 1
the omen coming, 1
omen coming on, 1
have heaven and, 1
and earth together, 1
earth together demonstrated, 1
unto our climatures, 1
our climatures and, 1
climatures and countrymen, 1
but soft behold, 1
soft behold lo, 1
behold lo where, 1
lo where it, 1
re enter ghost, 1
i ll cross, 1
ll cross it, 1
cross it though, 1
it though it, 1
though it blast, 1
it blast me, 1
blast me stay, 1
me stay illusion, 1
thou hast any, 1
hast any sound, 1
any sound or, 1
sound or use, 1
or use of, 1
use of voice, 1
if there be, 1
there be any, 1
be any good, 1
any good thing, 1
good thing to, 1
thing to be, 1
to be done, 1
that may to, 1
may to thee, 1
to thee do, 1
thee do ease, 1
do ease and, 1
ease and grace, 1
grace to me, 1
if thou art, 1
thou art privy, 1
art privy to, 1
privy to thy, 1
to thy country, 1
thy country s, 1
country s fate, 1
which happily foreknowing, 1
happily foreknowing may, 1
foreknowing may avoid, 1
may avoid o, 1
avoid o speak, 1
thou hast uphoarded, 1
hast uphoarded in, 1
uphoarded in thy, 1
in thy life, 1
extorted treasure in, 1
treasure in the, 1
in the womb, 1
the womb of, 1
womb of earth, 1
for which they, 1
which they say, 1
say you spirits, 1
you spirits oft, 1
spirits oft walk, 1
oft walk in, 1
walk in death, 1
speak of it, 1
of it stay, 1
it stay and, 1
stay and speak, 1
and speak stop, 1
speak stop it, 1
stop it marcellus, 1
shall i strike, 1
i strike at, 1
strike at it, 1
at it with, 1
it with my, 1
with my partisan, 1
do if it, 1
will not stand, 1
we do it, 1
do it wrong, 1
it wrong being, 1
wrong being so, 1
being so majestical, 1
to offer it, 1
offer it the, 1
it the show, 1
the show of, 1
show of violence, 1
for it is, 1
is as the, 1
as the air, 1
the air invulnerable, 1
and our vain, 1
our vain blows, 1
vain blows malicious, 1
blows malicious mockery, 1
it was about, 1
about to speak, 1
to speak when, 1
speak when the, 1
when the cock, 1
the cock crew, 1
and then it, 1
then it started, 1
it started like, 1
started like a, 1
like a guilty, 1
a guilty thing, 1
upon a fearful, 1
a fearful summons, 1
fearful summons i, 1
summons i have, 1
the cock that, 1
cock that is, 1
is the trumpet, 1
to the morn, 1
doth with his, 1
with his lofty, 1
his lofty and, 1
lofty and shrill, 1
and shrill sounding, 1
shrill sounding throat, 1
awake the god, 1
the god of, 1
god of day, 1
of day and, 1
day and at, 1
and at his, 1
at his warning, 1
whether in sea, 1
in sea or, 1
sea or fire, 1
or fire in, 1
fire in earth, 1
in earth or, 1
earth or air, 1
the extravagant and, 1
extravagant and erring, 1
and erring spirit, 1
erring spirit hies, 1
to his confine, 1
his confine and, 1
confine and of, 1
and of the, 1
of the truth, 1
the truth herein, 1
this present object, 1
present object made, 1
object made probation, 1
it faded on, 1
faded on the, 1
on the crowing, 1
the crowing of, 1
crowing of the, 1
of the cock, 1
some say that, 1
say that ever, 1
that ever gainst, 1
ever gainst that, 1
gainst that season, 1
that season comes, 1
wherein our saviour, 1
our saviour s, 1
saviour s birth, 1
s birth is, 1
birth is celebrated, 1
the bird of, 1
bird of dawning, 1
of dawning singeth, 1
dawning singeth all, 1
singeth all night, 1
all night long, 1
and then they, 1
then they say, 1
they say no, 1
say no spirit, 1
no spirit dares, 1
spirit dares stir, 1
dares stir abroad, 1
the nights are, 1
nights are wholesome, 1
are wholesome then, 1
wholesome then no, 1
then no planets, 1
no planets strike, 1
no fairy takes, 1
fairy takes nor, 1
takes nor witch, 1
nor witch hath, 1
